Název,Adresa,Lat.,Lon.,Followers,events 
Galerie Graciano,Veselá 39,49.1964,16.6056,9,0
Brejlando VR biograf,Holandská 669/1,50.0701,14.4548,9,0
Elpíčko,Zenklova 305/11,50.1039,14.4731,9,0
Pivovar Proud,U Prazdroje 64/7,49.7467,13.3876,9,0
Pivovar Lucky Bastard,Kotlářská 51a,49.2082,16.6028,9,0
Malý svět techniky,Ruská 2994/18,49.8185,18.2797,9,0
Meandr,"nám. Krále Jiřího z Poděbrad 2, Sylvie",49.9147,14.2362,9,0
Široko,Široká 19,48.9731,14.4741,9,0
Skautský institut v Budějcích,Krajinská 384,48.9772,14.4744,9,0
Egon Schiele Art Centrum,Široká 71,48.8107,14.3132,9,0
Jazz Tangens Club,"Jindřišská 698, 530 02",50.0363,15.7766,9,0
Club Imperial,Libušina 1212/18,50.221,12.8853,9,0
Cinema City Pardubice,Masarykovo náměstí 2799,50.0371,15.7689,9,0
Botanická zahrada,Purkyňova 630/1,50.7818,15.0756,9,0
Vědecká knihovna v Olomouci,Bezručova 3,49.5938,17.2475,9,0
Dům hudby,Sukova tř. 1260,50.0387,15.7747,9,0
Kino Petra Bezruče,Frýdlantská 612,49.6713,18.3467,9,0
Gočárova galerie,Zámek 3,50.0415,15.7773,9,0
Dalí Prague,Opletalova 1535/4,50.0808,14.4295,9,0
Vašulka Kitchen Brno,Malinovského náměstí 2a,49.1963,16.6146,9,0
Dům kultury Dukla,Gorkého 2573,50.0248,15.7646,9,0
Park Portheimka,Matoušova,50.0743,14.4059,9,0
Univerzita Pardubice,Studentská 95,50.0482,15.7694,9,0
Psí kusy – HoppyDog Pub, Poštovní 155/14,49.8372,18.29,9,0
Pub U Dvou přátel,Dominikánská 11,49.1931,16.6063,9,0
Pavillon du Vin,Mánesova 87,50.0781,14.4479,9,0
Zemská sněmovna v Brně,Joštova 625/8,49.1976,16.6044,9,0
Zámek Zábřeh,U Zámku 1,49.8073,18.2403,9,0
1. lékařská fakulta Univerzity Karlovy,Kateřinská 32,50.0744,14.4263,9,0
Líšeňský pivovar,Kotlanova 5,49.2107,16.6804,9,0
CineStar Pardubice,nám. Republiky 1400,50.0379,15.7764,9,0
Božák,Antonína Sochora 1516/2,50.6475,13.8495,9,0
Knihcentrum,Smetanovo náměstí 222/8,49.8325,18.2902,9,0
Kostel sv. Jakuba,Jakubské nám. 101/2,49.1963,16.6083,9,0
ARCHIP,Poupětova 3,50.1069,14.448,9,0
Žižkovy sady,ČSA 335/45,50.2125,15.8344,9,0
Sunpark Hradec Králové,Letiště 38,50.2418,15.8375,9,0
Ganesh indická restaurace,Americká 18,49.7435,13.3745,9,0
Kampus Palace,Smetanovo náměstí 3116/10,49.8328,18.2898,9,0
Kino Hvězda,náměstí Míru 951,49.0675,17.4688,9,0
Galerie Kuzebauch,Říčanova 19,50.0819,14.3607,9,0
Historický špejchar – Praha – Dubeč,U Dubečské tvrze 1675,50.0631,14.5969,9,0
Pevnost poznání,17. listopadu,49.5915,17.262,9,0
Aquacentrum Šutka,Čimická 848/41,50.1273,14.433,9,0
Kavárna Chat Noir,Lidická 19,49.2018,16.6071,9,0
Juditina věž,Mostecká 1,50.0872,14.407,9,0
Kostel U Ježíška,U Ježíška 2,49.7417,13.385,9,0
Galerie Paletka,Husova 2,49.7454,13.3724,9,0
Galerie Evropského domu,nám. Republiky 12,49.7469,13.3786,9,0
Hospoda Pod Obrazem,Zámecké náměstí 1,50.0891,17.7022,9,0
Dům U Minuty,Staroměstské náměstí 2,50.0869,14.4202,9,0
Lesní divadlo – Sloup v Čechách,,50.7389,14.5888,9,0
Kostel sv. Jana Křtitele Na Prádle,Říční,50.082,14.4065,9,0
Kostel Nejsvětějšího srdce Páně,"nám. Republiky 1200, 614 00",49.2121,16.631,9,0
Nejvyšší Purkrabství na Pražském hradě,Jiřská 6,50.0917,14.4042,9,0
Apartmán Richarda Hirsche,Plachého 6,49.7431,13.3713,8,32
La Cave d'Adrien,Americká 18,50.0724,14.4387,8,21
Kladenský zámek,Zádušní 1,50.1479,14.1012,8,10
Sál Na Nové,Nádražní 254,49.17,13.8917,8,2
Kino Volyně,nám. Svobody 41,49.1658,13.8869,8,2
Poldofka,Petra Bezruče 1701,50.1396,14.0977,8,2
Městský dům kultury Sokolov,5. května 655,50.1812,12.6451,8,1
Slovácké divadlo,Tyršovo náměstí 480,49.0716,17.4605,8,1
The Black Stuff,1. máje 19,49.5971,17.2614,8,1
Zahrady zámku Holešov,nám. F. X. Richtra 190,49.3328,17.5813,8,1
Kostel svatého Klimenta,Klimentská 5,50.092,14.4297,8,1
Maroldovo panoráma,Výstaviště,50.1067,14.4275,8,1
"Ústav soudního lékařství, Fn u sv. Anny a Lékařské fakulty, Masarykovy university",Tvrdého 562/2a,49.1972,16.592,8,0
Kolbenova vila,Hradešínská 976/1,50.0737,14.4496,8,0
Gröbeho vila,"Havlíčkovy sady 58, 120 00 Praha 2-Vinohrady",50.0693,14.445,8,0
Melody Café and Music Club,Ječná 12,50.0754,14.4232,8,0
Nymburské šapito České Budějovice,E. Rošického,48.9863,14.4382,8,0
Zámek Křimice,Zámecké náměstí 1/1,49.7585,13.3065,8,0
Galerie D9,Dukelská 9,48.9714,14.4773,8,0
Bajkazyl Hradec Králové,Československé armády 216,50.2122,15.8331,8,0
Hálkovo městské divadlo Nymburk,Tyršova 5,50.1848,15.0405,8,0
Hudební fakulta JAMU,"Komenského nám. 6, 66215 ",49.1968,16.6043,8,0
Golden Apple Cinema,náměstí Míru 174,49.2266,17.668,8,0
Dům kultury Teplice,Mírové náměstí 2950,50.6398,13.8262,8,0
Jablonecká sokolovna – Kulturní prostor Nazdar,Fügnerova 1054/5,50.7218,15.167,8,0
Vinotéka Merlot – Zastávka,Smetanovy sady 333/8,49.7454,13.3744,8,0
Kino Music Club,"Cukrovarská, 82/51, 19600 Praha",50.1502,14.5344,8,0
464°C,Křížkovského 2,50.0807,14.447,8,0
Dům kultury Žďár nad Sázavou,Dolní 183/30,49.5662,15.938,8,0
Faency Fries Plzeň,Klatovská třída 14,49.7436,13.3719,8,0
AC klub,Zámostí 684/1,50.207,15.8502,8,0
Faency Fries Brno,Radnická 11,49.1929,16.609,8,0
Clarion Congress Hotel,Pražská tř. 2306/14,48.9817,14.4704,8,0
Food Atelier,Vítkovická 3366,49.8211,18.2768,8,0
Skoč do pole,Čkalovova 835/45,49.8295,18.176,8,0
Moravskoslezská vědecká knihovna v Ostravě,Prokešovo náměstí 1802/9,49.841,18.2913,8,0
Železniční muzeum moravskoslezské,Frýdlantská 499/5,49.829,18.2825,8,0
Trojský most,,50.1116,14.4363,8,0
Hospoda Brouk,Vltavská 22,50.0698,14.4069,8,0
Slavkovský pivovar,U Mlýna 1422,49.1497,16.8887,8,0
Pappa Coffee,Veleslavínova 8,49.7488,13.3805,8,0
Nuselský pivovar,Bělehradská 1677/13a,50.0653,14.4379,8,0
Univerzita Tomáše Bati ve Zlíně,Mostní 5139,49.2226,17.6649,8,0
Galerie Makráč,Heyrovského nám. 2,50.0866,14.3386,8,0
Vault 42,Koželužská 945/31,49.5979,17.2583,8,0
Kulturní centrum Jitka,Otín 104,49.1429,15.035,8,0
Park Sacré Coeur,Kartouzská,50.0743,14.4025,8,0
Dance Pivovar,Trčkova 979,50.1719,16.2784,8,0
RT Torax Arena,Čkalova 6144/20,49.8209,18.2625,8,0
Hotel Barceló Brno Palace, Šilingrovo náměstí 265/2,49.1922,16.6056,8,0
Klub kultury Uherské Hradiště,Hradební 1198,49.0672,17.4614,8,0
Mendelova univerzita v Brně,Zemědělská 1,49.2102,16.6159,8,0
Kingston Bar,Saská 520/3,50.0868,14.4073,8,0
Galerie Millennium,Tržiště 5,50.0871,14.4029,8,0
Vrbovská zahrada,Karmelitská 25,50.0864,14.4026,8,0
Dance club Mexx,Masarykova 64,49.1836,15.4589,8,0
Bývalá Mosilana,Špitálka 12,49.1929,16.6209,8,0
Galerie kód,Kouřimská 5,50.0775,14.4688,8,0
Galerie Do/oka,Husova 4,50.0845,14.4183,8,0
Myšák,Vodičkova 710/31,50.0814,14.4242,8,0
Galerie KusKovu,Biskupský dvůr 6,50.0907,14.4356,8,0
Brummelův dům,Husova 58,49.7462,13.3642,7,280
EPO1,Elektrárenská 322,50.5779,15.9582,7,9
Galerie Recesse,Břevnovská 212/1,50.084,14.364,7,4
VR Play Park,Václavské náměstí 22,50.0826,14.4247,7,4
Zahrada Kladenského zámku,Zádušní 1,50.148,14.1014,7,3
Klub č. p. 4,Velké náměstí 145,50.2097,15.8332,7,1
Dům kultury Mladá Boleslav,"Dukelská 1093, 293 01",50.4135,14.9125,7,1
Malá vila PNP,Pelléova 20/70,50.1018,14.4074,7,1
Zámek Mikulov,,48.8071,16.637,7,1
Hotel Anybody,Zelený trh 10,49.1922,16.6077,7,0
Divadlo na Výstavišti,Výstaviště 405/1,49.1861,16.5753,7,0
Switch Bar & Café,Barvířská 31/8,50.7678,15.0541,7,0
Naivní divadlo Liberec, Moskevská 32,50.7679,15.0581,7,0
Škoda Muzeum,tř. Václava Klementa 294,50.4188,14.9139,7,0
Loft Bubny,U Papírny,0.0,0.0,7,0
Kino Alfa Sokolov,Heyrovského 1812​,50.1743,12.6578,7,0
Letiště Strakonice,V Lipkách 96,49.2556,13.8928,7,0
Parkoviště 1 – Skiareál Ještěd,Ještědská,50.7362,15.0023,7,0
Music Club Vrátnice,ulice 1. Máje 1000,49.4618,18.1296,7,0
Vlastivědné muzeum v Olomouci (hlavní budova),nám. Republiky 823/5,49.5968,17.2569,7,0
Malé kino,Filmová 174,49.2007,17.6709,7,0
Kavárna a knihkupectví Portál,Masarykovo náměstí 35,49.0687,17.46,7,0
Long Story Short,Koželužská 945/31,49.5974,17.2586,7,0
Centrum volného času O. Jeremiáše,O. Jeremiáše 1985,49.8445,18.1535,7,0
Knihovna Univerzity Palackého v Olomouci,Biskupské náměstí 1,49.5957,17.2601,7,0
Restaurant Ostende,Malý Bolevec 255,49.7779,13.3915,7,0
Sklad M1,U Akademie 172/4,50.1027,14.4241,7,0
Městské divadlo Prachatice,Velké náměstí 2,49.0128,13.9972,7,0
První pivní tramway, Na Chodovci 3268/1a,50.0498,14.4808,7,0
Vršovický zámeček,Moskevská 120/21,50.0698,14.4524,7,0
Týnský dvůr - Ungelt,Týn 638/5,50.0884,14.4239,7,0
Žlutý kopec,Žlutý kopec 7,49.1946,16.5874,7,0
Kavárna Továrna,Vavrečkova 7074,49.2244,17.6592,7,0
COI – Class of Interpretation,U Akademie 4,50.1027,14.4246,7,0
Tranzit.cz,Dittrichova 13,50.0748,14.4157,7,0
Škola vaření Soukup,Štefánikova 16,49.7076,13.4151,7,0
Cult of the Road,Pekařská 32,49.1921,16.6011,7,0
Kostel sv. Tomáše,Moravské náměstí 1/1,49.1982,16.608,7,0
Garage Gallery Karlin,Vítkova 7,50.0902,14.4457,7,0
ProLuka,"Bezručovy sady, Praha 10",50.0735,14.4486,7,0
Hospodská lékarna,Náměstí republiky 9,49.7475,13.3788,7,0
Staré zámecké schody,Staré zámecké schody,50.0921,14.4076,7,0
Čerstvý boby,Nádražní 47,49.8379,18.2846,7,0
H2,Náměstí Jana Palacha 80,50.0887,14.4149,7,0
Zámek Lednice,Zámek,48.8016,16.8033,7,0
Brno – Minská,Minská,49.2113,16.5832,7,0
Maybe Bar,Náměstí republiky 1400,50.0379,15.7764,7,0
Sportovní hala Datart,U Zimního stadionu 4289,49.2185,17.6587,7,0
Knupp Gallery Prague,Revoluční 17,50.0915,14.4274,7,0
Artery Prague,Gorazdova 1994/9,50.0745,14.4147,7,0
Korkorán,Vltavanů 229,50.0283,14.4036,7,0
Glassimo,Elišky Krásnohorské 3,50.09,14.4198,7,0
Fakultní nemocnice v Motole,Nemocnice Motol,50.0747,14.3404,7,0
Centrum volného času Vietnamská,Vietnamská 1541,49.8222,18.1911,7,0
Preciosa Flagship Store,Rytířská 536/29,50.0851,14.4222,7,0
Galerie Roberta Guttmanna,U Staré školy 3,50.0906,14.4209,7,0
Národní dům Frýdek-Místek,Palackého 134,49.6748,18.3442,7,0
Zelenáčova šopa,Dlouhá 111,49.2291,17.6702,7,0
Klášter minoritů sv. Jakuba,Malá Štupartská 6,50.0886,14.4245,7,0
Zanzibar,Americká 15,50.0722,14.4382,7,0
Home Kitchen Jankovcova,Jankovcova 14,50.1086,14.4546,7,0
Park Cafe Riegrovy Sady,Riegrovy Sady,50.0805,14.4429,7,0
Letní areál Svojšice u Pardubic,Svojšice 8,49.9705,15.6035,7,0
Oblaca,Mahlerovy sady 1,50.081,14.4518,7,0
Kostel svatých Janů,Minoritská,49.1941,16.6111,7,0
Nosticův palác,Maltézské náměstí 1,50.0862,14.4052,7,0
Vyšehradské Kasematy,V Pevnosti 5b,50.0652,14.4206,7,0
Galerie Moderna,Masarykovo nábřeží 24,50.0788,14.4143,7,0
Galerie PRE,Na Hroudě 4,50.0693,14.481,7,0
Kulturní centrum Kamenice,Ringhofferovo náměstí 434 251 68,49.9042,14.5879,6,16
Letní scéna Tvrz Divice,Divice 1,50.2773,13.8158,6,15
Plantáž,nám. Míru 212,49.4244,13.8815,6,4
The Monkey Bar,Opletalova 21,50.0829,14.4316,6,3
Františkánský klášter Čtrnácti sv. pomocníků,J. Švermy 474,50.379,13.2583,6,3
Fortna – klášter bosých karmelitánů,Hradčanské nám. 184/3,50.0892,14.3961,6,2
Hotel Zlatá hvězda Vimperk,1. máje 103/12,49.0545,13.778,6,2
Refektář Emauzského kláštera,Vyšehradská 49,50.0721,14.418,6,2
Hrad Kunětická hora,Ráby 6,50.0803,15.8116,6,2
Náměstí Míru,náměstí Míru,50.0753,14.4363,6,2
Kryt Folimanka,Pod Karlovem 1262/2,50.0676,14.4325,6,1
Divadlo K3,Univerzitní 3,49.5947,17.2553,6,1
Statek Všetice,Všetice 6,49.7901,14.5139,6,1
KC Aldis,Eliščino nábřeží 375,50.2155,15.829,6,1
Galerie Scarabeus,Jana Zajíce 7,50.1009,14.4172,6,1
PKV Build,"Vlněna 3, Vlněna Office Park",49.1896,16.6173,6,0
Onyx,Rybná 16,50.0896,14.4262,6,0
Atrium Palác Pardubice,Masarykovo nám. 2799,50.0368,15.7688,6,0
Areál bývalých městských jatek,Porážka 1,49.1875,16.6272,6,0
Dělnický dům Jihlava,Žižkovská 15,49.3942,15.5844,6,0
Zámek Břeclav,Zámecké náměstí 1/3,48.76,16.8764,6,0
Dobrý kafe,Mozartova 566,50.0448,15.7517,6,0
Sportovní areál Hluboká nad Vltavou,Sportovní 1276,49.0427,14.444,6,0
Supermarket wc,Náměstí republiky 1,50.2298,12.8664,6,0
Jan Becher Museum,T. G. Masaryka 282/57,50.2302,12.8669,6,0
Holašovice náves,,48.9695,14.2726,6,0
Franz Kafka Špitál,Koliště 43,49.1976,16.6148,6,0
Pivní zahrádka na Letné,Letenské sady 341,50.0964,14.4256,6,0
Pod mostem,,50.1786,14.8552,6,0
Alšovo nábřeží,Alšovo nábřeží,50.0896,14.4144,6,0
Ateliér Liberec,Pražská 21,50.7678,15.0572,6,0
Retro Music Club,Vinařská 484,48.8703,16.7511,6,0
Vemzu Space,"U Výstaviště 21, 170 00 Praha 7-Holešovice",50.1052,14.4334,6,0
Katedrála Nanebevzetí Panny Marie a sv. Jana Křtitele,"U Zastávky 280, Sedlec, 284 03 Kutná Hora",49.9572,15.2878,6,0
Wake Park Džbán,Nad Lávkou 672/5,50.0967,14.3324,6,0
Zahrada v misce,Presslova 14,49.7383,13.3816,6,0
Tyršovy sady,Tyršovy sady,50.0413,15.775,6,0
Le Frenchie café,Smetanovy sady 332/6,49.7454,13.3746,6,0
Dům kultury Vsetín,Svárov 1055,49.3381,17.9919,6,0
Přehrada Mšeno,přehrada Mšeno,50.7329,15.1747,6,0
Divadlo A. Dvořáka Příbram,Legionářů 400,49.6813,14.0009,6,0
Café Na kole,Velké náměstí 130/24,50.2103,15.8356,6,0
Trisia,náměstí Svobody 526,49.6685,18.6753,6,0
Muzeum Petrof,Na Brně 1955,50.1931,15.8539,6,0
Music club Enjoy,Horova 1262/6,50.6617,14.0362,6,0
Galerie dolu Michal,Československé armády 95,49.8423,18.3449,6,0
Městské divadlo Český Krumlov,Horní Brána 2,48.8106,14.3187,6,0
Empírový skleník,,50.0933,14.3997,6,0
Die Küche,Sukova 49/4,49.1956,16.6125,6,0
1. terapeutická restaurace,Starobrněnská 9,49.1923,16.6068,6,0
Kavárna U6,"Ruská 2994, Ostrava-Vítkovice 70300",49.8185,18.2792,6,0
Letní parket Holkov,Holkov 18,48.8398,14.4556,6,0
Hrádek – Areál lesního divadla,"K Divadlu 176, 338 42 Hrádek",49.7099,13.6541,6,0
Východočeské divadlo Pardubice,U Divadla 50,50.0369,15.7777,6,0
Coffee Trail Bar,Lidická 46,49.2039,16.6071,6,0
Ocean48,Česká 145/26,49.197,16.6057,6,0
Kostel sv. Kajetána,Nerudova 247/22,50.0884,14.3995,6,0
Arnie's Fresh Bistro & Coffee,Sedláčkova 39,49.7487,13.3756,6,0
Falcon Club,Kpt. Jaroše 118,49.3957,13.2901,6,0
Café & Restaurant Continental,Zbrojnická 312/8,49.7462,13.3794,6,0
Dobrá čajovna Náročného pijáka,28. října 2556/124,49.8311,18.2728,6,0
Velkopřevorský palác,Velkopřevorské náměstí 485/4,50.0862,14.4063,6,0
Kino 99,"Smetanova 764, Kolín IV, 280 02",50.0255,15.2058,6,0
Café Plovárna,Mendlovo náměstí,49.1902,16.5927,6,0
Živý Zlín,Osvoboditelů 3778,49.2231,17.6663,6,0
Biskupská zahrada,Zátkovo nábřeží,48.9733,14.472,6,0
Dělnický dům Židenice,Jamborova 65,49.196,16.6503,6,0
Kulturní dům Frýdek-Místek,Heydukova 2330,49.6909,18.3416,6,0
Velká Chuchle,,50.0069,14.3978,6,0
Black Kale Bar,Smetanovo nám. 3116/10,49.8328,18.2898,6,0
Kostel sv. Vavřince,Petřínské sady 342/14,50.083,14.3963,6,0
LUV-1,Čechova 14,50.1012,14.4213,6,0
Pasáž U Nováků,Vodičkova 699,50.081,14.4246,6,0
Park na náměstí 28. října,nám. 28. října 1843/7,49.2029,16.6129,6,0
Kačaba,Prokopova 17,49.7429,13.3792,6,0
Om café,Nádražní 512/172,49.8502,18.2737,6,0
Žlutá ponorka,Česká 141/66,48.9744,14.4721,6,0
Knihovna města Ostravy,28. října 2,49.8376,18.2953,6,0
Bílý dům,Žerotínovo nám. 533/6,49.1984,16.6022,6,0
Orion Music Club,nám. F. Křižíka 496/10,49.4124,14.6653,6,0
Dostihové závodiště Pardubice,Pražská 607,50.0205,15.7488,6,0
Onetwo Bar & Gallery,Šafaříkova 11,50.071,14.4339,6,0
Galerie Nativ,Bělohorská 1421/92,50.0841,14.3696,6,0
Klementinum 190,Mariánské náměstí 5,50.087,14.4172,6,0
Orea Hotel Pyramida,Bělohorská 24,50.0857,14.3802,6,0
Pasáž Platýz,Národní 37,50.0828,14.4205,6,0
L-klub,Studentská 22,49.7759,13.3664,6,0
Klub Alfa,Veleslavínova 3183/2,49.8392,18.2851,6,0
Kulturní zařízení Gama,Sokolská tř. 175/26,49.8397,18.2921,6,0
Kulturní centrum Poruba,Hlavní třída 583/105,49.8299,18.1666,6,0
Bagsy,Sokola Tůmy 2,49.7474,18.6236,6,0
Měšťanský pivovar Kutná Hora,U Lorce 11,49.9567,15.2709,6,0
Zámek Sychrov,,50.6267,15.0877,6,0
Trmalova vila,Vilová 11,50.0738,14.4883,6,0
Topas,Králova 643/45,49.2082,16.5823,6,0
Sex Machines Museum,Melantrichova 18,50.0863,14.4207,6,0
Muzeum věžáků Kladno,Vítězná 2955,50.1403,14.0727,5,114
Otevřený dům,Plynární 39,50.1081,14.4463,5,17
Zámek Dobříš,"nám. Svobody 1, 263 01",49.7813,14.179,5,7
GA Gallery,Slezská 950/34,50.0761,14.4434,5,4
Kláštery Český Krumlov,Klášterní Dvůr 97,48.8132,14.3177,5,2
Galerie Ludvíka Kuby,Lázeňská 363/5,50.1442,15.1204,5,2
Chrám svaté Barbory,Barborská,49.9473,15.2647,5,2
Alfa Music Club,Heyrovského 1812,50.1743,12.6578,5,1
Pivovar Clock,Školní 2,50.0836,16.3078,5,1
Divadlo Exil,tř. Míru 60,50.0371,15.7751,5,1
Galerie Eisler,"Obecní dům, Ostrožná 46",49.9364,17.9009,5,1
Café AdAstra,Podskalská 8,50.0691,14.4156,5,1
Centrální depozitář UPM,Červeňanského 19,50.0387,14.3343,5,0
Bubeníkovy sady,Bubeníkovy sady,50.0376,15.7839,5,0
Zemanova kavárna a cukrárna,Josefská 493/4,49.1931,16.6118,5,0
HYB4 Film,Hybernská 4,50.0871,14.4299,5,0
Rotunda sv. Martina na Vyšehradě,K Rotundě 100,50.0637,14.4215,5,0
Nymburské šapito Plzeň,Univerzitní,49.7225,13.3475,5,0
Holešovická tržnice – Hala 22,Bubenské nábřeží 306/13,50.0984,14.4453,5,0
Konzervatoř Pardubice,Sukova třída 1260,50.0387,15.7747,5,0
Městské informační centrum Kladno,Floriánské nám. 103,50.1461,14.1013,5,0
Bomma Atelier,Spálená 4,50.0794,14.4198,5,0
Arcibiskupský palác,Hradčanské náměstí 56,50.0899,14.3976,5,0
Trauttmannsdorfský palác,Loretánská 180/6,50.0886,14.3937,5,0
Kostel sv. Anny v Sedleci,Otovická 59,50.2466,12.8649,5,0
Mokka Oda,V Kopečku 87/4,50.2101,15.8313,5,0
Masarykovo náměstí,Masarykovo náměstí,49.3951,15.5904,5,0
Letní kino Boskovice,Kpt. Jaroše 15,49.4885,16.6613,5,0
Fotobistro,Dittrichova 13,50.0748,14.4157,5,0
Sklárna a Muzeum Moser,Kpt. Jaroše 46/19,50.2283,12.8378,5,0
Kino Jas Járy Cimrmana,Krkonošská 476,50.7385,15.3074,5,0
Muzeum skla a bižuterie v Jablonci nad Nisou,U Muzea 398/4,50.7226,15.1721,5,0
Rozárium,Wolkerova 17,49.589,17.2448,5,0
Sbírkové skleníky,U botanické Zahrady,49.586,17.249,5,0
Oranžerie,Smetanovy sady,49.587,17.2515,5,0
Pivovar Volt,Palackého 2302/28,50.7318,15.1699,5,0
Muzeum voskových figurín v kostele sv. Lukáše,Zámecký vrch 4,50.224,12.8829,5,0
Tkalcovna Strmilov,Kunžatecká 25,49.1573,15.1982,5,0
Dům Diamant,Lazarská 82,50.0793,14.4199,5,0
Divadlo J. K. Tyla,Masarykovo námesti 1,49.0038,14.7717,5,0
Zámek Ohrada,Ohrada 17,49.0415,14.4218,5,0
Knížecí pivovar Plasy,"Pivovarská 34, 331 01 ",49.935,13.3892,5,0
Zoo Plasy,"Plzeňská 37, 33 101",49.9331,13.389,5,0
Plachý Café,Plachého 59/4,48.9754,14.4748,5,0
Zámecké barokní divadlo Český Krumlov,Zámek 59,48.8129,14.3139,5,0
Chrudimská beseda,Široká 85,49.9532,15.7922,5,0
Lomená galerie,Denisova 284/30,49.5956,17.2558,5,0
Na břehu Rhôny Olomouc,Dolní náměstí 200/2,49.5932,17.2513,5,0
Rokáč Vinohrady,"Jana Opletala 1707/3, 43401 ",50.5137,13.6328,5,0
ArtCafé,Klášterní 1,50.5861,16.3342,5,0
Druhý domov,Nábřeží 949/11,49.5952,17.2681,5,0
VKOL (hlavní budova),Bezručova 659/2,49.5939,17.2471,5,0
Dům kultury města Orlové,Osvobození 797,49.8713,18.428,5,0
Britské centrum,Biskupské nám. 1,49.5957,17.2601,5,0
Kino Vlast / Nová scéna Vlast,Hlavní třída 112,49.6771,18.3454,5,0
Knihovna Dejvice,Technická 2710/6,50.1038,14.3903,5,0
Letní kino Havířov,U Letního kina,49.7844,18.415,5,0
Holiday Inn Brno,Křížkovského 20,49.1844,16.5804,5,0
Večerka,Pekařská 382/9,49.1922,16.6037,5,0
Lázně Poděbrady,Jiřího náměstí 39/15 290 33,50.1427,15.1184,5,0
Galerie Panel,Smetanovo nábřeží 2 ,50.0817,14.4132,5,0
Kemp Slezskoostravský hrad,Hradní náměstí,49.8312,18.3006,5,0
Mateřské centrum Kůzle,Revoluční 227/51,49.7436,13.4094,5,0
Pevnost Josefov – Bastion I a podzemí,"Okružní 34, Josefov, 551 02 ",50.3384,15.925,5,0
Sady na Skalce,Na Skalce,50.0673,14.4003,5,0
Filharmonie Hradec Králové,Eliščino nábřeží 5,50.2132,15.8289,5,0
Městské muzeum Volyně,Školní 744,49.1674,13.8864,5,0
Friendly Place Brno,Čápkova 28/21,49.2017,16.5941,5,0
Pražírna Kyjov,třída Komenského 1407/14,49.011,17.1264,5,0
Galerie Pštrossova 23,Pštrossova 23,50.0793,14.416,5,0
Galerie Saigon,Fráni Šrámka 5,49.8269,18.261,5,0
Vrchlického sady,Vrchlického sady,50.0843,14.4337,5,0
Brána ke zdraví,Orlí 17,49.1938,16.6117,5,0
U Tří knížat,Jánská 12,49.1943,16.6104,5,0
Clarion Congress Hotel Olomouc,Jeremenkova 36,49.5925,17.2759,5,0
Stone Projects,Veletržní 32,50.1013,14.4275,5,0
Angels Music Club,Jungmannova 1497,49.5715,15.9405,5,0
Náměstí U Oblouku,Náměstí U Oblouku ,49.8228,18.1747,5,0
Galerie Prokopka,Prokopova 9,50.0856,14.4535,5,0
Vědeckotechnický park,Teslova 1202/3,49.7239,13.3363,5,0
Jízdárna zámku Kozel,Šťáhlavy 67,49.6707,13.53,5,0
Dobré pivo,Starobrněnská 340/14,49.1926,16.6069,5,0
Skok,Pod Jelením skokem 884/2,50.2231,12.8791,5,0
Francouzské velvyslanectví v Praze,Velkopřevorské náměstí 2,50.0859,14.4063,5,0
Jihočeská univerzita,Studentská 23,48.9778,14.4493,5,0
Laura Coffee,Horní 55,49.7881,18.2569,5,0
Chlebíček store,Náměstí Dr. Václava Holého 3,50.1071,14.4746,5,0
Rainbow' s End Cafe and Art Garden,Mostecká 14,50.0875,14.4062,5,0
T. J. Sokol Český Brod,Tyršova 314,50.0747,14.8577,5,0
Oblastní muzeum a galerie v Mostě,Československé armády 1360,50.5174,13.6391,5,0
Vegetarian Bistro Satyr,Kardinála Berana 24,49.7426,13.37,5,0
Filosofický ústav Akademie věd ČR,Jílská 1,50.0846,14.4188,5,0
Burianovo náměstí,Burianovo náměstí ,49.2123,16.5789,5,0
Galerie Pro arte,Tržiště 13,50.0872,14.4021,5,0
Galerie na vodě,Rašínovo nábřeží,50.0698,14.4146,5,0
Fakulta filozofická ZČU v Plzni,Sedláčkova 268/38,49.7489,13.376,5,0
Felix,Masarykovo náměstí 32/52,49.8359,18.2919,5,0
Sál Milosrdných bratří,Vídeňská 7,49.1848,16.5953,5,0
Node5,Radlická 50,50.0664,14.4027,5,0
Šikland,Zvole 49,49.4748,16.1674,5,0
Galerie U Bílého jednorožce,náměstí Míru 149,49.3954,13.2927,5,0
Prague Gallery „Art of bathrooms“,I. P. Pavlova 5,50.075,14.4298,5,0
Public Interest Bar,U Milosrdných 12,50.0918,14.4219,5,0
Centrum Fénix,Václavská 6,49.1893,16.5973,5,0
Národní dům Bohumín,nám. Svobody 37,49.9196,18.3284,5,0
Tišnov,Jungmannova 70,49.3499,16.4201,5,0
Knihovna Akademie věd ČR,Národní 1009/03,50.0816,14.4145,5,0
Kart Centrum Praha,Výpadová 1335,49.9833,14.3626,5,0
Výtvarný ateliér Malování a kreslení,Balbínova 28,50.0768,14.4338,5,0
Kampus Jihočeské univerzity,Branišovská 1645/31A,48.9781,14.4491,5,0
Pivnice Sladovna, Kotlářská 931/51,49.2078,16.6034,5,0
Art Gallery Brno,Veveří 455/8,49.1993,16.603,5,0
Areál Pivovaru Protivín,"Pivovar 168, Protivín 398 11",49.2046,14.2177,5,0
Mikulov – různá místa,,48.8067,16.6385,5,0
