Název,Adresa,Lat.,Lon.,Followers,events
Náměstí Svobody,náměstí Svobody,49.1947,16.6081,189,0
Náměstí Jiřího z Poděbrad,náměstí Jiřího z Poděbrad ,50.0779,14.4508,164,0
Luft,Kamenická 56,50.1028,14.4261,132,0
Amfiteátr Kraví hora,Kraví hora,49.2035,16.5866,101,20
Letní kino Kamínka,Nad Kamínkou 1523,49.9578,14.3849,100,0
Zahrada U sosny,Břehová 90,49.227,16.642,87,4
Otevřená zahrada,Údolní 33,49.1977,16.5989,74,0
Ze Mě,Na Louži 7,50.064,14.4578,72,0
Mystic Skatepark Štvanice,Ostrov Štvanice 944,50.0958,14.4423,70,0
Ponava,Lužánecká 1883/3,49.2049,16.6101,54,0
Džungle BKAO,Výstaviště,50.1071,14.4315,48,11
Zlíchovský lihovar,Nádražní 2584/2,50.0521,14.4097,34,0
Auto Da Fé,Ocelárenská 1793,50.1454,14.1075,27,1
Jihočeské divadlo (historická budova),Dr. Stejskala 19,48.9725,14.4748,27,0
Měsíc ve dne,Nová 1870/3,48.9777,14.4782,23,0
Horká vana,Česká 222/11,48.975,14.4753,22,1
Český rozhlas Brno,Beethovenova 4,49.1964,16.6103,16,0
Divadlo U Kapličky,Husova tř. 622/45,48.979,14.4575,15,0
Solnice,Piaristické nám. 3,48.976,14.4716,13,0
Kavárna Anežka,Anežská 812/12,50.0922,14.4239,10,6
Letní kino Dlabačov,Bělohorská 125/24,50.0854,14.3796,8,9
CineStar České Budějovice,Pražská tř. 1247/24,48.9841,14.4726,7,0
Severočeská vědecká knihovna,Winstona Churchilla 3,50.6632,14.0355,4,0
Jatka78,Bubenské nábřeží 306/13,50.1001,14.4466,3041,108
1435mm / Nákladové nádraží Žižkov,Jana Želivského 2,50.0837,14.4735,1773,0
Futurum Music Bar,Zborovská 7,50.0741,14.4078,1659,27
Museum Kampa,U Sovových mlýnů 2,50.0841,14.4085,1574,47
Divadlo Archa,Na Poříčí 26,50.0895,14.4341,1552,37
Kunsthalle Praha,Klárov 5,50.0923,14.4096,1419,77
DOX⁺,Poupětova 3,50.1069,14.448,1383,23
Národní divadlo (historická budova),Národní 2,50.0813,14.4135,1250,21
Kino Ponrepo,Bartolomějská 11,50.0832,14.4177,1166,0
Divadlo Husa na provázku,Zelný Trh 9,49.1921,16.608,1091,26
Vagon,Palác Metro Národní 25,50.0825,14.4181,1069,0
Divadlo Na zábradlí,Anenské náměstí 5,50.085,14.4147,1067,37
Gauč na Výstavišti,Výstaviště,50.1054,14.4294,1012,3
Výletní kino Smíchov,Hořejší nábřeží 1126,50.0684,14.4104,985,0
Velký sál Lucerna,Štěpánská 61,50.0809,14.4264,912,5
Retro Music Hall,Francouzská 4,50.0746,14.4377,831,2
Klub FAMU,Smetanovo nábřeží 2,50.0817,14.4132,816,0
Pragovka Gallery,Kolbenova 923/34,50.1105,14.5116,807,0
Přítomnost Boutique Cinema,Siwiecova 1839/1,50.084,14.4431,772,5
Swim,Štěpánská 36,50.0798,14.4263,658,1
Měšťanská beseda,Kopeckého sady 13,49.7442,13.3767,642,57
Divadlo pod Palmovkou,Zenklova 34,50.1055,14.4731,589,23
Reduta Jazz Club,Národní 20,50.082,14.4187,587,201
Ústřední knihovna,Mariánské náměstí 1,50.0874,14.4174,587,12
Divadlo v Dlouhé,Dlouhá 39,50.0908,14.4269,576,13
Ponec – divadlo pro tanec,Husitská 24a,50.0871,14.4428,553,9
U Bukanýra,nábřeží Ludvíka Svobody,50.0934,14.4281,538,6
Valdštejnská jízdárna,Valdštejnská 3,50.0909,14.4095,521,12
Galerie NTK,Technická 6,50.1038,14.3905,508,0
Barrák,Fügnerova 595/1,49.8538,18.2757,484,8
Plzeňský Prazdroj,U Prazdroje 64/7,49.7467,13.3867,481,1
Studio DVA divadlo,Václavské náměstí 56,50.0801,14.4294,475,26
Divadlo na Orlí,Orlí 19,49.1942,16.6122,471,0
Multifunkční aula Gong,Ruská 2993,49.819,18.2795,379,20
Sportovní hala Fortuna,Za Elektrárnou 419/1,50.1073,14.4341,370,2
Malá Amerika,Hybešova 1,49.188,16.6087,359,0
Národní technická knihovna,Technická 6,50.1043,14.3909,337,0
Státní opera,Wilsonova 4,50.0805,14.433,336,26
Kulturní dům Dlabačov,Bělohorská 125/24,50.0854,14.3796,333,17
Stará Pekárna,Štefánikova 8,49.2083,16.6042,327,0
Palác Kinských,Staroměstské náměstí 12,50.0879,14.4216,319,1
Francouzský institut,Štěpánská 35,50.0788,14.4251,317,10
Smíchovská náplavka – u Železničního mostu,Smíchovská náplavka 558/4,50.0675,14.4112,316,0
Hvězdárna a planetárium Brno,Kraví hora 2,49.2042,16.5839,315,0
Fait Gallery,Ve Vaňkovce 2,49.1877,16.6159,300,0
Berlinskej model,Pplk. Sochora 9,50.0997,14.4357,280,0
Park Lužánky,Lužánky,49.2067,16.6054,277,0
Divadlo Reduta Brno,Zelný Trh 4,49.1965,16.6129,276,14
Café Práh,Ve Vaňkovce 1,49.1883,16.6154,273,1
Galerie Vaňkovka,Ve Vaňkovce 462/1,49.1889,16.6137,271,0
Divadlo Kalich,Jungmannova 9,50.0803,14.4217,251,0
Vibe Club,Starobrněnská 20,49.1926,16.6063,241,0
Parník Tyrš,Rašínovo nábřeží,50.0699,14.4146,228,9
Schwarzenberský palác,Hradčanské náměstí 2,50.0891,14.3969,224,8
Villa Pellé,Pelléova 10,50.0991,14.4073,221,4
Ostrov Štvanice,Ostrov Štvanice,50.0962,14.4453,219,0
Pražské kreativní centrum,Staroměstské nám. 4/1,50.087,14.4205,214,6
